,Cas# /Accession#,Chemical Name
9066,189120-62-5,"Amines, N-tallow alkyltripropylenetetra-, citrates"
9067,189120-63-6,"Amines, N-coco alkyltrimethylenedi-, citrates"
9068,18917-91-4,Aluminum Lactate
9069,1892-03-1,"1,3,3,4,4,5,5-Heptafluorocyclopentene"
9070,1892-29-1,"Ethanol, 2,2'-dithiobis-"
9071,189233-30-5,"1-Hexadecanol, manuf. of, distn. lights"
9072,189233-31-6,"1-Octadecanol, manuf. of, distn. lights"
9073,1893-52-3,"2-[Ethyl(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)amino]ethyl prop-2-enoate"
9074,18934-00-4,3-Ethyl-3-[(3-ethyloxetan-3-yl)methoxymethyl]oxetane
9075,189354-73-2,"Siloxanes and Silicones, 3-[(2-aminoethyl)amino]propyl Me, di-Me, reaction products with polyethylene-polypropylene glycol Bu glycidyl ether"
9076,189573-21-5,"Phenol, 2,4-dichloro-5-hydrazinyl-, hydrochloride (1:1)"
9077,1897-45-6,"1,3-Benzenedicarbonitrile, 2,4,5,6-tetrachloro-"
9078,1897-52-5,"2,6-Difluorobenzonitrile"
9079,18993-24-3,"1,1,1,3,3Pentachloropropane,1,1,1,3,5,5Hexachloropentane,1,1,3,3,5,5Hexachloropentane,Chloroalkanes"
9080,18993-92-1,Methyl isoamyl acrylate
9081,18996-35-5,Sodium dihydrogen citrate
9082,19019-43-3,"Glycine, N-(carboxymethyl)-N-[2-[(carboxymethyl)amino]ethyl]-, sodium salt (1:3)"
9083,19035-79-1,"1-Hexadecanol, 1-(dihydrogen phosphate), potassium salt (1:1)"
9084,19044-88-3,Oryzalin
9085,19045-77-3,Dipotassium lauryl phosphate
9086,190525-00-9,"Chromate(2-), [3-(hydroxy-.kappa.O)-4-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-7-nitro-1-naphthalenesulfonato(3-)][1-[2-[2-(hydroxy-.kappa.O)-5-nitrophenyl]diazenyl-.kappa.N1]-2-naphthalenolato(2-)-.kappa.O]-, lithium"
9087,19064-14-3,"Benzoic acid, 2,6-difluoro-, ethyl ester"
9088,191-07-1,Coronene
9089,191-24-2,Benzo[ghi]perylene
9090,191-26-4,Anthanthrene
9091,191-30-0,"Dibenzo[a,l]Pyrene"
9092,191-76-0,"Oxirane, 2,2''-[1,4-phenylenebis(oxymethylene)]bis-"
9093,1910-42-5,Paraquat dichloride
9094,191044-59-4,"Benzene, 1-(1-methylethyl)-3-(1-phenylethyl)-"
9095,191044-60-7,"Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-"
9096,191101-38-9,"1-Butanesulfonamide, 1,1,2,2,3,3,4,4,4-nonafluoro-N-[(1,1,2,2,3,3,4,4,4-nonaffluorobutyl)sulfonyl]-,ion(1-)"
9097,1912-24-9,"1,3,5-Triazine-2,4-diamine, 6-chloro-N2-ethyl-N4-(1-methylethyl)-"
9098,191358-81-3,"Formaldehyde, reaction products with 5,12-dihydroquino[2,3-b]acridine-7,14-dione and 3,5-dimethyl-1H-pyrazole, sulfonated"
9099,191358-82-4,"Chromium, aqua propionate complexes"
9100,19139-31-2,"2-Butenedioic acid (2E)-, 1,4-dihexyl ester"
9101,19141-82-3,"1-Hexadecanol, aluminum salt (3:1)"
9102,19168-23-1,"Palladate(2-), hexachloro-, ammonium (1:2), (OC-6-11)-"
9103,191680-81-6,"1,3-Propanediamine, N,N''-1,2-ethanediylbis-, reaction products with cyclohexane and peroxidized N-butyl-2,2,6,6-tetramethyl-4-piperidinamine-2,4,6-trichloro-1,3,5-triazine reaction products"
9104,191743-75-6,"Ethanol, 2-amino-, reaction products with cyclohexane and peroxidized N-butyl-2,2,6,6-tetramethyl-4-piperidinamine-2,4,6-trichloro-1,3,5-triazine reaction products"
9105,1918-00-9,Dicamba
9106,1918-02-1,"2-Pyridinecarboxylic acid, 4-amino-3,5,6-trichloro-"
9107,1918-16-7,Propachlor
9108,19186-97-1,"1-propanol, 3-bromo-2,2-bis(bromomethyl)-, phosphate (3:1)"
9109,192-33-7,"Oxirane, (butoxymethyl)-"
9110,192-65-4,"Dibenzo[a,e]Pyrene"
9111,192-97-2,Benzo[e]pyrene
9112,19201-36-6,"2-Butenedioic acid (2Z)-, 1-[2-[(1-oxo-2-propen-1-yl)oxy]ethyl] ester"
9113,19223-55-3,"1-Propanaminium, 2-hydroxy-N,N-dimethyl-N- 3- (1-oxododecyl)amino propyl -3-sulfo-, hydroxide, inner salt-"
9114,19224-26-1,"1,2-Propanediol, dibenzoate"
9115,192268-64-7,"1,6-Hexanediamine, N1,N6-bis(2,2,6,6-tetramethyl-4-piperidinyl)-, polymer with 2,4,6-trichloro-1,3,5-triazine, reaction products with, N-butyl-1-butanamine and N-butyl-2,2,6,6-tetramethyl-4-piperidinamine"
9116,192268-65-8,"Phosphorothioic acid, O,O,O-triphenyl esters, tert-Bu derivs."
9117,192439-46-6,"4H-1,3,5-Oxadiazin-4-imine, tetrahydro-3-methyl-N-nitro-5-[[2-(phenylthio)-5-thiazolyl]methyl]-"
9118,19248-13-6,"1,2-Ethanediamine, N1-ethyl-N1-(3-methylphenyl)-"
9119,192526-10-6,"Tar bases, quinoline derivs., 1-(chloromethyl)naphthalene-quarternized"
9120,192662-29-6,"Sulfonamides, C4-8-alkane, perfluoro, N-[3-(dimethylamino)propyl], reaction products with acrylic acid"
9121,192708-91-1,"2-[(2,3-dihydro-5,8-dimethylspiro[4h-1-benzothiopyran-4,2'-[1,3] dioxolan]-6-yl)carbonyl]-3-hydroxy-2-cyclohexen-1-one s,s-dioxide potassium salt"
9122,192726-23-1,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethyl 2-propenoate, 2,2,6,6-tetramethyl-4-piperidinyl ester"
9123,1928-43-4,"2,4-D 2-ethylhexyl ester"
9124,1929-73-3,"2,4-D 2-butoxyethyl ester"
9125,1929-77-7,Vernolate
9126,1929-82-4,Nitrapyrin
9127,193-39-5,"Indeno[1,2,3-cd]pyrene"
9128,193098-40-7,"1,6-Hexanediamine, N1,N6-bis(2,2,6,6-tetramethyl-4-p iperidinyl)-, polymers with morpholine-2,4,6-trichloro-1,3,5-t riazine reaction products, methylated"
9129,1931-62-0,"2-Propeneperoxoic acid, 3-carboxy-, 1-(1,1-dimethylethyl) ester, (2Z)-"
9130,1932-50-9,"Acetic acid, 2-hydroxy-, potassium salt (1:1)"
9131,19321-40-5,"9-Octadecenoic acid (9Z)-, 2,2-bis[[[(9Z)-1-oxo-9-octadecenyl]oxy]methyl]-1,3-propanediyl ester"
9132,193214-24-3,Aluminum cobalt lithium nickel oxide
9133,19327-40-3,"3,6,9,12,15-Pentaoxatricosan-1-ol"
9134,1934-21-0,FD&C Yellow No. 5
9135,19351-18-9,"Thiazolidine, 2,2-dimethyl-"
9136,19355-69-2,"Propanenitrile, 2-amino-2-methyl-"
9137,193635-71-1,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, peroxidized adipoyl chloride-triethylene glycol polymer-initiated"
9138,193635-72-2,"Oxirane, 2-methyl-, polymer with oxirane, 2-aminomethylethyl 4-nonylphenyl ether, branched"
9139,193635-82-4,"Ethanaminium, 2-hydroxy-N-(2-hydroxyethyl)-N,N-dimethyl-, diesters with C16-18 and C18-unsatd. fatty acids, Me sulfates"
9140,1937-37-7,"Disodium;(6Z)-4-amino-3-[[4-[4-[(2,4-diaminophenyl)diazenyl]phenyl]phenyl]diazenyl]-5-oxo-6-(phenylhydrazinylidene)naphthalene-2,7-disulfonate"
9141,19372-44-2,"2,4-Pentanedione, ion(1-), calcium salt (2:1)"
9142,1937262-08-2,"Formaldehyde, polymer with 2-aminocyclopentanemethanamine, 1,4-butanediamine, 1,2-cyclohexanediamine, hexahydro-1H-azepine, 1,6-hexanediamine and 2-methyl-1,5-pentanediamine"
9143,19381-50-1,C.I. Acid Green 1
9144,1938142-12-1,"Benzoic acid, 5-bromo-2-chloro-, sodium salt (1:1)"
9145,1938142-13-2,"Benzoic acid, 3-bromo-4-fluoro-, sodium salt (1:1)"
9146,1938142-14-3,"Benzoic acid, 2-bromo-5-fluoro-, sodium salt (1:1)"
9147,1938142-15-4,"Benzoic acid, 4-bromo-2-fluoro-, sodium salt (1:1)"
9148,1939-36-2,Trimethylenediaminetetraacetic acid
9149,19398-61-9,"Benzene, 1,4-dichloro-2-methyl-"
9150,194-59-2,"7H-Dibenzo[c,g]carbazole"
9151,1940-42-7,"Phenol, 4-bromo-2,5-dichloro-"
9152,194043-92-0,Butyrospermum parkii (shea) butter
9153,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin"
9154,1941-30-6,"1-Propanaminium, N,N,N-tripropyl-, bromide"
9155,19423-76-8,"Cerium chloride, hydrate"
9156,194289-64-0,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctyl)-.omega.-methoxy-"
9157,19430-93-4,"1-Hexene, 3,3,4,4,5,5,6,6,6-nonafluoro-"
9158,194309-39-4,"3,3,4,4,5,5,6,6-nonafluoro-1-hexene"
9159,19438-60-9,"1,3-Isobenzofurandione, hexahydro-5-methyl-"
9160,19438-61-0,"1,3-Isobenzofurandione, 5-methyl-"
9161,194419-32-4,"1H-1,2,4-Triazole-3-acetic acid, 5-[4-(1,1-dimethylethyl)phenyl]-"
9162,194673-87-5,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.'-(oxydi-2,1-ethanediyl)bis[.omega.-(2-aminomethylethoxy)-"
9163,1948-33-0,"1,4-Benzenediol, 2-(1,1-dimethylethyl)-"
9164,19485-03-1,"2-Propenoic acid, 1-methyl-1,3-propanediyl ester"
9165,195008-77-6,"Benzenesulfonic acid, mono-C10-16-alkyl derivs., compds. with 2-propen-1-amine"
9166,19549-80-5,"2-Heptanone, 4,6-dimethyl-"
9167,195628-73-0,"Phenol, 2-[4,6-bis(2,4-dimethylphenyl)-1,3,5-triazin-2-yl]-5-(octyloxy)-, branched and linear"
9168,19594-40-2,"4-Undecanone, 2-methyl-"
9169,196109-17-8,"Tris(4-ethenoxybutyl) benzene-1,2,4-tricarboxylate"
9170,1962-75-0,"1,4-Benzenedicarboxylic acid, 1,4-dibutyl ester"
9171,1963-36-6,"2-Propenal, 3-(4-methoxyphenyl)-"
9172,196316-34-4,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymers with .gamma.-.omega.-perfluoro-C10-16-alkyl acrylate and vinyl acetate, acetates"
9173,1965-29-3,"Ethanol, 2-[[2-[(2-aminoethyl)amino]ethyl]amino]-"
9174,196521-82-1,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[2-(2-hydroxy-5-methylphenyl)diazenyl]-, potassium salt (1:4)"
9175,19660-16-3,"2-Propenoic acid, 2,3-dibromopropyl ester"
9176,19666-30-9,Oxadiazon
9177,1967778-37-5,"Carboxylic acids, C6-18 and C5-15-di-, polymers with diethylene glycol, glycerol, sorbitol and terephthalic acid"
9178,19685-21-3,"2,5,8,11-Tetraoxatetradec-13-ene"
9179,197-70-6,Benzo[b]perylene
9180,197098-60-5,"Benzene, 1,3-bis(1-isocyanato-1-methylethyl)-, homopolymer, polyethylene glycol mono-Me ether-blocked"
9181,19721-22-3,"1-Propanol, 3-mercapto-"
9182,197447-16-8,"Sulfonium, triphenyl-, 2,4,6-tris(1-methylethyl)benzenesulfonate (1:1)"
9183,197527-19-8,"Amines, C12-14-tert-alkyl, sulfamates"
9184,19766-89-3,"Hexanoic acid, 2-ethyl-, sodium salt"
9185,19780-11-1,"2,5-Furandione, 3-(2-dodecen-1-yl)dihydro-"
9186,197980-53-3,"Zirconium, 1,1'-[[2-[(2-hydroxyethyl)(2-hydroxypropyl)amino]ethyl]imino]bis[2-propanol] complexes"
9187,198-55-0,Perylene
9188,19800-42-1,"Phenol, 4-[2-[2-methoxy-4-[2-(4-nitrophenyl)diazenyl]phenyl]diazenyl]-"
9189,1980837-88-4,"Canola oil, reaction products with 1-butene"
9190,1980837-89-5,"Canola oil, reaction products with 1-butene, distn. residues"
9191,1980837-90-8,"Canola oil, reaction products with 1-butene, distn. residues, Me esters"
9192,1982-69-0,"Benzoic acid, 3,6-dichloro-2-methoxy-, sodium salt"
9193,19829-42-6,"Ethanedioic acid, 1,2-bis[(4-chlorophenyl)methyl] ester"
9194,1983-10-4,Tributyltin fluoride
9195,1984-06-1,"Octanoic acid, sodium salt"
9196,1984-58-3,"1,4-dichloro-2-methoxybenzene"
9197,198404-98-7,"Cyclopropanemethanol, 1-methyl-2-[(1,2,2-trimethylbicyclo[3.1.0]hex-3-yl)methyl]-"
9198,1985-51-9,"2-Propenoic acid, 2-methyl-, 1,1'-(2,2-dimethyl-1,3-propanediyl) ester"
9199,19870-74-7,"1H-3a,7-Methanoazulene, octahydro-6-methoxy-3,6,8,8-tetramethyl-, (3R,3aS,6S,7R,8aS)-"
9200,198784-92-8,"2-Propenoic acid, 2-methyl-, pentadecyl ester, branched and linear"
9201,198784-93-9,"2-Propenoic acid, 2-methyl-, dodecyl ester, branched and linear"
9202,198784-94-0,"2-Propenoic acid, 2-methyl-, tetradecyl ester, branched and linear"
9203,198784-95-1,"2-Propenoic acid, 2-methyl-, tridecyl ester, branched and linear"
9204,198840-65-2,"Tetradecane, chloro derivs."
9205,19889-37-3,"Butanoic acid, 2-ethyl-2-methyl-"
9206,19895-48-8,"Cyclohexanaminium, N,N,N-trimethyl-hydroxide (1:1)"
9207,19900-65-3,"Benzenamine, 4,4'-methylenebis[2-ethyl-"
9208,19900-69-7,"Benzenamine, 4,4'-methylenebis[2,6-bis(1-methylethyl)-"
9209,19910-65-7,"Peroxydicarbonic acid, bis(1-methylpropyl) ester"
9210,199487-82-6,"2-Naphthalenol, mono- and dioctyl derivs."
9211,1996-88-9,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl 2-methylprop-2-enoate"
9212,20-80-9,Diglycolamine
9213,200013-65-6,"Diphosphoric acid, polymers with ethoxylated reduced Me esters of reduced polymd. oxidized tetrafluoroethylene"
9214,2001-94-7,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, potassium salt (1:2)"
9215,2002-24-6,"Ethanol, 2-amino-, hydrochloride (1:1)"
9216,20030-30-2,"2-Cyclohexen-1-one, 2,5,6-trimethyl-"
9217,200443-94-3,"2-Butenedioic acid (2Z)-, ammonium salt (1:?), homopolymer, hydrolyzed, ammonium salts"
9218,200443-98-7,"Boron sodium oxide (B5NaO8), labeled with boron-10"
9219,200513-42-4,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, 2-hydroxyethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate"
9220,20073-50-1,3-Oxazolidineethanol
9221,2008-41-5,"Carbamothioic acid, N,N-bis(2-methylpropyl)-, S-ethyl ester"
9222,2009-83-8,"1-Hexanol, 6-chloro-"
9223,20109-59-5,"Heptanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-, sodium salt (1:1)"
9224,201167-69-3,Aluminosilicophosphates
9225,20120-33-6,"Phosphonic acid, [3-[(hydroxymethyl)amino]-3-oxopropyl]-, dimethyl ester"
9226,20138-28-7,"Dodecanamide, N-[2-(2-hydroxyethoxy)ethyl]-"
9227,2014386-23-1,"Siloxanes and Silicones, di-Me, hydrogen-terminated, reaction products with acrylic acid and 2-ethyl-2-[(2-propen-1-yloxy)methyl]-1,3-propanediol, polymers with chlorotrimethylsilane-iso-Pr alc.-sodium silicate reaction products"
9228,2016-56-0,"1-Dodecanamine, acetate"
9229,201687-57-2,"Fatty acids, talloil, etc."
9230,201687-58-3,"Fatty acids, tall-oil, 2-mercaptoethyl esters, reaction products with dichlorodimethylstannane, 2-mercaptoethyl oleate, sodium sulfide (Na2S) and trichloromethylstannane"
9231,2020340-46-7,"Waste plastics, pyrolyzed, C5-55 fraction"
9232,2020407-62-7,"Manganese, tris[.mu.-(2-ethylhexanoato-.kappa.O:.kappa.O')]bis(octahydro-1,4,7-trimethyl-1H-1,4,7-triazonine-.kappa.N1,.kappa.N4,.kappa.N7)di-"
9233,2020407-63-8,"Manganese, [.mu.-(acetato-.kappa.O:.kappa.O')]bis[.mu.-(2-ethylhexanoato-.kappa.O:.kappa.O')]bis(octahydro-1,4,7-trimethyl-1H-1,4,7-triazonine-.kappa.N1,.kappa.N4,.kappa.N7)di-"
9234,2020407-64-9,"Manganese, bis[.mu.-(acetato-.kappa.O:.kappa.O')][.mu.-(2-ethylhexanoato-.kappa.O:.kappa.O')]bis(octahydro-1,4,7-trimethyl-1H-1,4,7-triazonine-.kappa.N1,.kappa.N4,.kappa.N7)di-"
9235,2020407-65-0,"Manganese, tris[.mu.-(acetato-.kappa.O:.kappa.O')]bis(octahydro-1,4,7-trimethyl-1H-1,4,7-triazonine-.kappa.N1,.kappa.N4,.kappa.N7)di-"
9236,202075-32-9,"Heptadecanol, branched"
9237,202148-88-7,"1-Butene, hydroformylation products, by-products from, distn. residues"
9238,202148-89-8,"Butanal, condensation products, hydrogenated, by-products from, distn. residues"
9239,202148-90-1,"4-Nonanone, 2,6,8-trimethyl-, hydrogenated, by-products from, distn. residues"
9240,202148-91-2,"4-Heptanone, 2,6-dimethyl-, hydrogenated, by-products from, distn. residues"
9241,202148-93-4,"Pentadecene, branched"
9242,20227-53-6,"Phosphorous acid, 2-(1,1-dimethylethyl)-4-[1-[3-(1,1-dimethylethyl)-4-hydroxyphenyl]-1-methylethyl]phenyl bis(4-nonylphenyl) ester"
9243,2023-50-5,Niobium
9244,20241-76-3,"9,10-Anthracenedione, 1,8-dihydroxy-4-nitro-5-(phenylamino)-"
9245,202420-04-0,"1H-Benzotriazole, C-chloro-C-methyl-, sodium salt (1:1)"
9246,202483-48-5,"Amides, tall-oil fatty, N-[2-[(2-hydroxyethyl)amino]ethyl], reaction products with sulfur dioxide"
9247,2025-88-4,Sulfur dioxide
9248,20279-69-0,"Carbamic acid, dimethyldithio-, calcium salt"
9249,20280-10-8,"N,N,N',N'-Tetrabutylmethanediamine"
9250,202842-98-6,"1H-Pyrazole, 3,4-dimethyl-, phosphate (1:1)"
9251,20292-08-4,"Dodecanoic acid, 2-ethylhexyl ester"
9252,20292-09-5,"Octanoic acid, dodecyl ester"
9253,20298-69-5,"Cyclohexanol, 2-(1,1-dimethylethyl)-, acetate, (1R,2R)-rel-"
9254,203-64-5,4H-Cyclopenta[def]phenanthrene
9255,20306-75-6,"Butanamide, N-methyl-3-oxo-"
9256,2031-62-1,"Silane, diethoxymethyl-"
9257,2031-67-6,Triethoxy(methyl)silane
9258,2032-65-7,Methiocarb
9259,20324-32-7,1-(2-Methoxy-1-methylethoxy)-2-propanol
9260,20324-33-8,Tripropylene glycol Methyl ether
9261,20324-87-2,"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-, disodium salt"
9262,20325-40-0,"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, dihydrochloride"
9263,203261-42-1,"Benzoic acid, 4-chloro-2-methyl-, sodium salt (1:1)"
9264,203313-25-1,"Carbonic acid, cis-3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4.5]dec-3-en-4-yl ethyl ester"
9265,20336-96-3,"Tetradecanoic acid, lithium salt (1:1)"
9266,20338-08-3,"Titanium hydroxide (Ti(OH)4), (T-4)-"
9267,20344-49-4,Iron hydroxide oxide (Fe(OH)O)
9268,2035-93-0,"Benzenepropanol, .alpha.,.gamma.,.gamma.-trimethyl-"
9269,20354-26-1,Methazole
9270,203566-46-5,"2-Propenoic acid, 2-methyl-2[dimethylamino]ethyl ester, polymer with a (3-carboxymethylene-1-oxopropyl)-omega-(hexadecyloxy) poly(oxy-1,2-ethanediyl) and ethyl-2-propenoate"
9271,203573-08-4,"Benzoic acid, 4-chloro-3-fluoro-, ethyl ester"
9272,203588-70-9,"1-Propene, hydroformylation products, by-products from, distn. residues"
9273,203588-71-0,"Ethene, hydroformylation products, by-products from, distn. residues"
9274,203742-97-6,"Formaldehyde, reaction products with branched 4-nonylphenol and 1-dodecanethiol"
9275,203809-20-5,"Fatty acids, tall-oil, reaction products with 1-piperazineethanamine and sulfur dioxide"
9276,204-44-6,"1,2,4-Benzenetricarboxylic acid, trimethyl ester"
9277,2040-00-8,Diethylaluminium Iodide
9278,20407-84-5,"2-dodecenal, (2e)-"
9279,20427-58-1,Zinc hydroxide
9280,20427-59-2,Copper(II) hydroxide
9281,20427-84-3,"Ethanol, 2-[2-(4-nonylphenoxy)ethoxy]-"
9282,204277-61-2,"Alanine, N-[5-(acetylamino)-4-[2-(2-chloro-6-c yano-4-nitrophenyl)diazenyl]-2-m ethoxyphenyl]-N-(2-methoxy-2-oxoethyl)-, methyl ester"
9283,20429-33-8,"9-Octadecenamide, N-[2-(2-hydroxyethoxy)ethyl]-, (9Z)-"
9284,20429-79-2,"D-Glucopyranose, 2-O-.beta.-D-glucopyranosyl-"
9285,2043-47-2,"1-Hexanol, 3,3,4,4,5,5,6,6,6-nonafluoro-"
9286,2043-52-9,"Nonane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluoro-9-iodo-"
9287,2043-53-0,Perfluorodecyl iodide
9288,2043-54-1,"1,1,2,2-Tetrahydroperfluorododecyl iodide"
9289,2043-55-2,"Hexane, 1,1,1,2,2,3,3,4,4-nonafluoro-6-iodo-"
9290,2043-57-4,"Octane, 1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-8-iodo-"
9291,204336-40-3,"Oxirane, methyl-, polymer with oxirane, mono(3,5,5,-trimethylhexyl) ether"
9292,2044-64-6,"N,N-dimethyl-3-oxobutanamide"
9293,204401-83-2,"Fatty acids, tall-oil, reaction products with sulfur dioxide and triethylenetetramine"
9294,20469-71-0,"Hydrazinecarbodithioic acid, compd. with hydrazine (1:1)"
9295,204933-92-6,"Amines, bis(hydrogenated rape-oil alkyl)methyl"
9296,204933-93-7,"Amines, bis(hydrogenated rape-oil alkyl)methyl, N-oxides"
9297,205-82-3,Benzo[j]fluoranthene
9298,205-99-2,Benzo(b)fluoranthene
9299,2050-08-0,Amyl salicylate
9300,2050-46-6,"1,2-Diethoxybenzene"
9301,2050-47-7,"Benzene, 1,1'-oxybis[4-bromo-"
9302,2050-67-1,"3,3'-Dichlorobiphenyl"
9303,2050-68-2,"4,4'-Dichlorobiphenyl"
9304,2050-92-2,Dipentylamine
9305,20506-24-5,"Cobaltate(1-), bis[2-(3-chlorophenyl)-2,4-dihydro-4-[2-[2-(hydroxy-.kappa.O)-5-(methylsulfonyl)phenyl]diazenyl-.kappa.N2]-5-methyl-3H-pyrazol-3-onato(2-)-.kappa.O3]-, hydrogen, compd. with (1R,4aS,10aR)-1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenemethanamine (1:1:1)"
9306,2051-24-3,Decachlorobiphenyl
9307,2051-60-7,2-Chlorobiphenyl
9308,2051-61-8,3-Chlorobiphenyl
9309,2051-62-9,4-Chlorobiphenyl
9310,2051-79-8,"1,4-Benzenediamine, N4,N4-diethyl-2-methyl-, monohydrochloride"
9311,2052-07-5,1-Bromo-2-phenylbenzene
9312,2052-15-5,"Pentanoic acid, 4-oxo-, butyl ester"
9313,2052-49-5,"1-Butanaminium, N,N,N-tributyl-, hydroxide"
9314,20526-58-3,"Butanedioic acid, 2-sulfo-, sodium salt (1:?)"
9315,2053-21-6,"Benzoic acid, 3,4,5-trihydroxy-, sodium salt (1:1)"
9316,205367-42-6,"Butane, 1-(chloromethoxy)-1,1,2,2,3,3,4,4,4-nonafluoro-"
9317,2055370-07-3,"Waste plastics, pyrolyzed, C5-12 fraction"
9318,2055370-08-4,"Waste plastics, pyrolyzed, C9-20 fraction"
9319,2055370-09-5,"Waste plastics, pyrolyzed, C20-55 fraction"
9320,2055838-16-7,"2-Propenenitrile, polymer with methanamine, hydrogenated, 3-aminopropyl-terminated, ethoxylated propoxylated"
9321,20566-35-2,"1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, 1-[2-(2-hydroxyethoxy)ethyl] 2-(2-hydroxypropyl) ester"
9322,2057-49-0,"Pyridine, 4-(3-phenylpropyl)-"
9323,205764-98-3,"Hexasodium;2-[[4-anilino-6-[4-[(E)-2-[4-[[4-anilino-6-(1,2-dicarboxylatoethylamino)-1,3,5-triazin-2-yl]amino]-2-sulfonatophenyl]ethenyl]-3-sulfonatoanilino]-1,3,5-triazin-2-yl]amino]butanedioate"
9324,2058-94-8,"Undecanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heneicosafluoro-"
9325,2058302-39-7,"2-Propenoic acid, 2-methyl-, 2-(2-butoxyethoxy)ethyl ester, polymer with 1,3-butadiene and 2-propenenitrile"
9326,20587-61-5,"Ethanol, 2- 2-(Benzoyloxy)Ethoxy -"
9327,20592-85-2,"Phosphonic acid, [nitrilotris(methylene)]tris-, sodium salt"
9328,206-44-0,Fluoranthene
9329,206009-80-5,"Amines, C12-14-tert-alkyl, compds. with .gamma.-.omega.-perfluoro-C6-12-alkyl dihydrogen phosphate (1:1)"
9330,206009-81-6,"Amines, C12-14-tert-alkyl, compds. with bis(.gamma.-.omega.-perfluoro-C6-12-alkyl) hydrogen phosphate (1:1)"
9331,206009-82-7,"Methanone, diphenyl-, reaction products with trichloromethylsilane, hydrolyzed"
9332,20602-77-1,"2-Propenoic acid, 2-methyl-, 3-(dimethylamino)propyl ester"
9333,206072-38-0,"Piperazine, polymer with 1,1'-methylenebis[isocyanatobenzene], 2-methyloxirane and oxirane, polyethylene glycol mono-Me ether-blocked"
9334,206072-39-1,"Oxirane, 2-methyl-, polymer with 1,1'-methylenebis[isocyanatobenzene] and oxirane, polyethylene glycol mono-Me ether-blocked"
9335,2062-98-8,"Propanoyl fluoride, 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-"
9336,206565-89-1,"Fatty acids, C18-unsatd., dimers, reaction products with 1-piperazineethanamine and tall-oil fatty acids"
9337,206565-90-4,"Fatty acids, C18-unsatd., dimers, reaction products with 1-piperazineethanamine"
9338,20665-85-4,"Propanoic acid, 2-methyl-, 4-formyl-2-methoxyphenyl ester"
9339,20667-12-3,Silver oxide
9340,2067275-86-7,"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-polymer with oxirane, (4-dimethylamino) benzoate"
9341,206770-18-5,"1,2,4-Benzenetricarboxylic acid, mixed 2-ethylhexyl and stearyl triesters"
9342,206886-68-2,"Glycine, N-[2-[bis(carboxymethyl)amino]ethyl]-N-(1-oxododecyl)-, sodium salt (1:?)"
9343,207-08-9,Benzo[k]fluoranthene
9344,20701-68-2,"9-Octadecenedioic acid, (9Z)-"
9345,207308-34-7,"Urea, methanesulfonate (1:1)"
9346,207399-07-3,"2-[2-[2-Chloro-3-[2-(3,3-dimethyl-1-propylindol-1-ium-2-yl)ethenyl]cyclohex-2-en-1-ylidene]ethylidene]-3,3-dimethyl-1-propylindole; iodide"
9347,20748-72-5,"Ethanol, 2-amino-, nitrate (salt)"
9348,20749-68-2,"12H-Phthaloperin-12-one, 8,9,10,11-tetrachloro-"
9349,20769-85-1,"Propanoyl bromide, 2-bromo-2-methyl-"
9350,207692-02-2,"[2,2'-Bi-1H-indole]-3,3'-diol, potassium sodium salt"
9351,2078-54-8,"2,6-Bis(1-methylethyl)phenol"
